肯定是抑郁了😅  	肯定是抑郁了😅
肯定是抑郁了😅  	看到了校长跟某个女老师叠罗汉？
肯定是抑郁了😅  	该学生患有抑郁症，学校老师和领导长期疏导未见效果，
肯定是抑郁了😅  	反正我不敢，大老爷们一句话就能让我家破人亡，我能怎么样呢
肯定是抑郁了😅  	又是成都？上分这块儿真让他们整明白了😅
肯定是抑郁了😅  	少看负能量，坐等团团反转就行了
肯定是抑郁了😅  	你脚下的这片热土拥有世界第一公路里程13.1万公里拥有世界第一高铁里程2.2万公里拥有世界第一光缆里程3041万公里拥有世界第一移动支付金额208万亿拥有世界第一的人才资源1.75亿人拥有世界第一发明申请量＞100万拥有世界第一年均脱贫量1391万人拥有世界第二科研费用1.57万亿拥有世界第一的架桥技术拥有世界第一的巨型水电站建设技术拥有世界第一的高原铁路建设技术拥有世界第一的量子通讯技术拥有世界第一的高铁及动车建造技术拥有世界第一的特高压输电技术拥有世界第一的激光技术拥有世界第一的超级计算机技术拥有世界第一的陶瓷生产技术世界前10斜拉桥中国占7座世界10个超大港口中国占7个世界前10悬索桥中国占6个GDP超过万亿的城市中国占12个中国目前城镇化已达到57.35％这就是你的祖国，这就是你的家有五星红旗飘扬的地方，就是家的地方那个曾经被视为落后腐朽代名词的中国早已不复返那个曾被视为东亚病夫的中国早已一去不复返那个曾被西方各国随意欺辱的中国早已一去不复返那个曾被各国垄断技术的中国早已一去不复返那个十万青年热血砌出来的钢铁中华将长久傲立于东方中国在国际上面对非难的从容不迫彰显出了大国实力和魄力她正以稳健的步伐迈向一个崭新而辉煌的时代我们爱国人身后都一面红旗，她的名字叫中国🇨🇳
肯定是抑郁了😅  	快进到欠下高额网贷
肯定是抑郁了😅  	屈原都抑郁了，一个学生能怎样？
肯定是抑郁了😅  	你脚下的这片热土拥有世界第一公路里程13.1万公里拥有世界第一高铁里程2.2万公里拥有世界第一光缆里程3041万公里拥有世界第一移动支付金额208万亿拥有世界第一的人才资源1.75亿人拥有世界第一发明申请量＞100万拥有世界第一年均脱贫量1391万人拥有世界第二科研费用1.57万亿拥有世界第一的架桥技术拥有世界第一的巨型水电站建设技术拥有世界第一的高原铁路建设技术拥有世界第一的量子通讯技术拥有世界第一的高铁及动车建造技术拥有世界第一的特高压输电技术拥有世界第一的激光技术拥有世界第一的超级计算机技术拥有世界第一的陶瓷生产技术世界前10斜拉桥中国占7座世界10个超大港口中国占7个世界前10悬索桥中国占6个GDP超过万亿的城市中国占12个中国目前城镇化已达到57.35％这就是你的祖国，这就是你的家有五星红旗飘扬的地方，就是家的地方那个曾经被视为落后腐朽代名词的中国早已不复返那个曾被视为东亚病夫的中国早已一去不复返那个曾被西方各国随意欺辱的中国早已一去不复返那个曾被各国垄断技术的中国早已一去不复返那个十万青年热血砌出来的钢铁中华将长久傲立于东方中国在国际上面对非难的从容不迫彰显出了大国实力和魄力她正以稳健的步伐迈向一个崭新而辉煌的时代我们爱国人身后都一面红旗，她的名字叫中国🇨🇳
黑子们，可以闭嘴了  	来个懂哥
黑子们，可以闭嘴了  	编了一个月，就这？
黑子们，可以闭嘴了  	确实，和十年前比，属实赢了
黑子们，可以闭嘴了  	“开启精选评论”
黑子们，可以闭嘴了  	😅
黑子们，可以闭嘴了  	敢公布汉和少的比例吗？你说你苟吗个抽比呢
黑子们，可以闭嘴了  	太好了，我不用生了
黑子们，可以闭嘴了  	太好了，不生二胎，不给国家添负担
黑子们，可以闭嘴了  	真中真了属于是
黑子们，可以闭嘴了  	哈哈哈哈哈哈哈哈
黑子们，可以闭嘴了  	哈哈哈哈哈
黑子们，可以闭嘴了  	哈哈哈哈哈
黑子们，可以闭嘴了  	为什么不是114514人
啊这 真的假的啊  	真的假的啊
啊这 真的假的啊  	关键时刻永远出问题的监控吗
啊这 真的假的啊  	什么都能干出来，除了背书，他们一无是处
啊这 真的假的啊  	可以随便说就是假消息，啥都不让说还封😷…十有八九里面有料
啊这 真的假的啊  	遮遮掩掩一律默认为真
啊这 真的假的啊  	楼道坠落，注意是楼道，母亲节那天5点40去上学，9点被通知人没了，看这学校的态度多半还不是第一时间通知，就这几小时时间发生了什么
啊这 真的假的啊  	第一天了解毒🥦吗
啊这 真的假的啊  	吞楼吞的好厉害
啊这 真的假的啊  	反转了，境外势力
啊这 真的假的啊  	小🐷，捉
啊这 真的假的啊  	事出反常必有妖
啊这 真的假的啊  	感觉不太真。还是持续关注吧
没人关注马恩牌？  	给个地址，我要去冲死这群臭老九
没人关注马恩牌？  	带路去了
没人关注马恩牌？  	这个余亮不是第一次洗陈平了，还喜欢碰瓷李大钊，真是要吐了
没人关注马恩牌？  	李大钊不就是标准的供职吗
没人关注马恩牌？  	部分话说的还挺好，大部分cjb
没人关注马恩牌？  	打了个锤子
没人关注马恩牌？  	这人控评有一手，而且观点大部分都是歪屁股，和他辩论他不理你，直接删评论。
没人关注马恩牌？  	社和资谁最怕马恩啊？😅
没人关注马恩牌？  	这人之前说抑郁都是西方人编的谎言，年轻人天天抱怨都是虚假的，他自称“工业党”，换而言之就是工人为工业服务，做螺丝钉
没人关注马恩牌？  	马恩是旧社会的毒瘤是吧😅
没人关注马恩牌？  	快点打出来，一把王炸手工
没人关注马恩牌？  	我头像😅
这立场怎么看  	起义了
这立场怎么看  	没人吗？
这立场怎么看  	打的好，早该图图了
这立场怎么看  	我只能说龙云和李宗仁也比蒋介石有希望
这立场怎么看  	民心散了，军心也会动摇。
这立场怎么看  	万岁军老大拒绝进鹅城缴麻匪
这立场怎么看  	这人屁股歪了，狗罕见一个
这立场怎么看  	两边都是亲美武装，经典中东自由地区小故事
这立场怎么看  	这枪口抬高不止1cm了，直接转了180度
这立场怎么看  	速度毁灭
这立场怎么看  	删评论？这种人不让骂？
这立场怎么看  	狗罕见
这立场怎么看  	下辈子投胎到种花家继续当pilot
这立场怎么看  	军队也是人，也有人心
什么级别？  	什么级别？
什么级别？  	没有和高低贵贱早乱套了
什么级别？  	😅
什么级别？  	蚌埠住了😅你让他发个家庭住址试试
什么级别？  	😅😅😅什么贵族？
什么级别？  	憨憨，打赏6666我可能勉强能信
什么级别？  	…刹帝利？
什么级别？  	30😅😅😅
什么级别？  	沙口罢了
什么级别？  	王思聪舅舅的级别
什么级别？  	来，蒸发我试试
什么级别？  	牛啊，老北京是吧
什么级别？  	这位怕是住在znh的人物😅
什么级别？  	什么社会蒸蒸日上，人民安居乐业？
什么级别？  	蒸发我试试？
难道我们现在指望的是生育率很高，老龄化压力一点都没有？一催年  	难道我们现在指望的是生育率很高，老龄化压力一点都没有？一催年轻人他们就结婚，还生两个？不会吧？！对，正因为有一定的难度，所以你够他的时候，痛苦与此有关，幸福也与此有关
